City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Thompson,CA,55.74,-97.86,48.2,81,90,8.05,overcast clouds
287,Tura,IN,25.52,90.22,73.83,97,57,6.08,broken clouds
288,Imbituba,BR,-28.24,-48.67,64.4,48,0,12.75,clear sky
289,Arlit,NE,18.74,7.39,100.69,24,12,8.79,few clouds
290,San Miguel,SV,13.48,-88.18,80.6,100,40,3.36,scattered clouds
291,Terrell,US,32.74,-96.28,93.99,33,20,3.36,few clouds
292,Aksu,CN,41.12,80.26,76.75,34,0,5.08,clear sky
293,Obuasi,GH,6.21,-1.66,72.97,95,13,2.86,light rain
294,Gavle,SE,60.67,17.14,66.0,65,11,3.0,few clouds
295,Oranjestad,AW,12.52,-70.03,86.0,79,40,9.17,scattered clouds
296,Nisia Floresta,BR,-6.09,-35.21,80.6,69,40,19.46,scattered clouds
297,San Jose,US,37.34,-121.89,89.01,45,75,4.7,smoke
298,Ariquemes,BR,-9.91,-63.04,90.1,26,0,3.8,clear sky
299,Pemberton,CA,50.32,-122.8,62.6,63,40,6.93,scattered clouds
300,Bara,NG,10.37,10.73,76.48,82,83,4.7,broken clouds
301,Zamora,EC,-4.07,-78.96,87.8,33,90,20.8,overcast clouds
302,Alim,PH,9.56,122.49,80.46,80,99,2.93,light rain
303,Texarkana,US,33.43,-94.05,90.0,43,40,4.7,scattered clouds
304,New Norfolk,AU,-42.78,147.06,44.01,91,100,1.99,moderate rain
305,Turukhansk,RU,65.82,87.98,56.17,89,100,2.57,light rain
306,Broome,US,42.25,-75.83,84.99,42,20,3.36,few clouds
307,Sept-Iles,CA,50.2,-66.38,62.6,55,40,13.87,scattered clouds
308,Gravdal,NO,68.12,13.5,56.82,93,100,13.51,overcast clouds
309,Gasa,PS,31.5,34.47,82.0,39,0,1.7,clear sky
310,Murupara,NZ,-38.47,176.7,54.0,98,94,1.01,overcast clouds
311,Amga,RU,60.9,131.96,37.92,77,0,1.79,clear sky
